seed,shift_name,severity_name,scenario_parameters,method_name,alpha,abstention_policy,abstention_threshold,class,metric_name,metric_value
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.1,,,Dress,average_set_size,0.943
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.1,,,Dress,coverage,0.879
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.1,,,Pullover,average_set_size,0.923
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.1,,,Pullover,coverage,0.78
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.1,,,Sandal,average_set_size,0.997
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.1,,,Sandal,coverage,0.98
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.1,,,Shirt,average_set_size,0.899
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.1,,,Shirt,coverage,0.686
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.1,,,Sneaker,average_set_size,0.99
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.1,,,Sneaker,coverage,0.947
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.1,,,T-shirt/top,average_set_size,0.95
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.1,,,T-shirt/top,coverage,0.865
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.1,,,Trouser,average_set_size,0.992
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.1,,,Trouser,coverage,0.983
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.2,,,Ankle boot,average_set_size,0.952
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.2,,,Ankle boot,coverage,0.944
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.2,,,Bag,average_set_size,0.973
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.2,,,Bag,coverage,0.971
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.2,,,Coat,average_set_size,0.664
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.2,,,Coat,coverage,0.637
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.2,,,Dress,average_set_size,0.807
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.2,,,Dress,coverage,0.792
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.2,,,Pullover,average_set_size,0.672
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.2,,,Pullover,coverage,0.627
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.2,,,Sandal,average_set_size,0.971
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.2,,,Sandal,coverage,0.965
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.2,,,Shirt,average_set_size,0.527
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.2,,,Shirt,coverage,0.461
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.2,,,Sneaker,average_set_size,0.88
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.2,,,Sneaker,coverage,0.867
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.2,,,T-shirt/top,average_set_size,0.717
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.2,,,T-shirt/top,coverage,0.696
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.2,,,Trouser,average_set_size,0.976
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.2,,,Trouser,coverage,0.971
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",class_conditional_conformal,0.05,,,Ankle boot,average_set_size,0.972
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",class_conditional_conformal,0.05,,,Ankle boot,coverage,0.949
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",class_conditional_conformal,0.05,,,Bag,average_set_size,0.987
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",class_conditional_conformal,0.05,,,Bag,coverage,0.941
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",class_conditional_conformal,0.05,,,Coat,average_set_size,1.609
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",class_conditional_conformal,0.05,,,Coat,coverage,0.95
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",class_conditional_conformal,0.05,,,Dress,average_set_size,1.191
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",class_conditional_conformal,0.05,,,Dress,coverage,0.947
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",class_conditional_conformal,0.05,,,Pullover,average_set_size,1.377
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",class_conditional_conformal,0.05,,,Pullover,coverage,0.962
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",class_conditional_conformal,0.05,,,Sandal,average_set_size,0.958
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",class_conditional_conformal,0.05,,,Sandal,coverage,0.94
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",class_conditional_conformal,0.05,,,Shirt,average_set_size,1.485
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",class_conditional_conformal,0.05,,,Shirt,coverage,0.927
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",class_conditional_conformal,0.05,,,Sneaker,average_set_size,0.968
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",class_conditional_conformal,0.05,,,Sneaker,coverage,0.954
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",class_conditional_conformal,0.05,,,T-shirt/top,average_set_size,1.331
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",class_conditional_conformal,0.05,,,T-shirt/top,coverage,0.947
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",class_conditional_conformal,0.05,,,Trouser,average_set_size,0.978
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",class_conditional_conformal,0.05,,,Trouser,coverage,0.94
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",class_conditional_conformal,0.1,,,Ankle boot,average_set_size,0.908
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",class_conditional_conformal,0.1,,,Ankle boot,coverage,0.898
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",class_conditional_conformal,0.1,,,Bag,average_set_size,0.877
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",class_conditional_conformal,0.1,,,Bag,coverage,0.86
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",class_conditional_conformal,0.1,,,Coat,average_set_size,1.199
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",class_conditional_conformal,0.1,,,Coat,coverage,0.878
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",class_conditional_conformal,0.1,,,Dress,average_set_size,0.979
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",class_conditional_conformal,0.1,,,Dress,coverage,0.868
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",class_conditional_conformal,0.1,,,Pullover,average_set_size,1.125
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",class_conditional_conformal,0.1,,,Pullover,coverage,0.91
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",class_conditional_conformal,0.1,,,Sandal,average_set_size,0.885
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",class_conditional_conformal,0.1,,,Sandal,coverage,0.877
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",class_conditional_conformal,0.1,,,Shirt,average_set_size,1.169
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",class_conditional_conformal,0.1,,,Shirt,coverage,0.876
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",class_conditional_conformal,0.1,,,Sneaker,average_set_size,0.918
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",class_conditional_conformal,0.1,,,Sneaker,coverage,0.915
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",class_conditional_conformal,0.1,,,T-shirt/top,average_set_size,1.095
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",class_conditional_conformal,0.1,,,T-shirt/top,coverage,0.896
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",class_conditional_conformal,0.1,,,Trouser,average_set_size,0.859
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",class_conditional_conformal,0.1,,,Trouser,coverage,0.845
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",class_conditional_conformal,0.2,,,Ankle boot,average_set_size,0.766
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",class_conditional_conformal,0.2,,,Ankle boot,coverage,0.764
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",class_conditional_conformal,0.2,,,Bag,average_set_size,0.729
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",class_conditional_conformal,0.2,,,Bag,coverage,0.722
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",class_conditional_conformal,0.2,,,Coat,average_set_size,0.844
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",class_conditional_conformal,0.2,,,Coat,coverage,0.707
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",class_conditional_conformal,0.2,,,Dress,average_set_size,0.785
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",class_conditional_conformal,0.2,,,Dress,coverage,0.75
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",class_conditional_conformal,0.2,,,Pullover,average_set_size,0.919
17,brightness_contrast,mild_brightness,"{""brightness"":0.8,""contrast"":1.0}",class_conditional_conformal,0.2,,,Pullover,coverage,0.819
