seed,shift_name,severity_name,scenario_parameters,method_name,alpha,abstention_policy,abstention_threshold,coverage,selective_risk,number_accepted,number_abstained
17,class_imbalance,moderate,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.5}",standard_conformal,0.2,hybrid,0.5,0.8392857142857143,0.017191489361702117,5875.0,1125.0
17,class_imbalance,moderate,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.5}",standard_conformal,0.2,hybrid,0.6,0.8392857142857143,0.017191489361702117,5875.0,1125.0
17,class_imbalance,moderate,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.5}",standard_conformal,0.2,hybrid,0.7,0.8392857142857143,0.017191489361702117,5875.0,1125.0
17,class_imbalance,moderate,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.5}",standard_conformal,0.2,hybrid,0.8,0.8392857142857143,0.017191489361702117,5875.0,1125.0
17,class_imbalance,moderate,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.5}",standard_conformal,0.2,hybrid,0.9,0.777,0.010479867622724792,5439.0,1561.0
17,class_imbalance,moderate,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.5}",standard_conformal,0.2,hybrid,0.95,0.719,0.00635803695608983,5033.0,1967.0
17,class_imbalance,moderate,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.5}",standard_conformal,0.2,singleton_conformal,,0.8392857142857143,0.017191489361702117,5875.0,1125.0
17,class_imbalance,moderate,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.5}",temperature_scaled,,confidence_threshold,0.5,0.9731428571428572,0.06033470346447445,6812.0,188.0
17,class_imbalance,moderate,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.5}",temperature_scaled,,confidence_threshold,0.6,0.9348571428571428,0.042023227383863104,6544.0,456.0
17,class_imbalance,moderate,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.5}",temperature_scaled,,confidence_threshold,0.7,0.893,0.03007518796992481,6251.0,749.0
17,class_imbalance,moderate,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.5}",temperature_scaled,,confidence_threshold,0.8,0.8441428571428572,0.018107970891859893,5909.0,1091.0
17,class_imbalance,moderate,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.5}",temperature_scaled,,confidence_threshold,0.9,0.777,0.010479867622724792,5439.0,1561.0
17,class_imbalance,moderate,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.5}",temperature_scaled,,confidence_threshold,0.95,0.719,0.00635803695608983,5033.0,1967.0
17,class_imbalance,strong,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.2}",standard_conformal,0.05,hybrid,0.5,0.9346153846153846,0.029835390946502005,4860.0,340.0
