seed,shift_name,severity_name,scenario_parameters,method_name,alpha,abstention_policy,abstention_threshold,metric_name,metric_value
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_9_pred_4,0.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_9_pred_5,5.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_9_pred_6,1.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_9_pred_7,17.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_9_pred_8,0.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,confusion_true_9_pred_9,977.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,evaluation_seconds,6.284013199998299
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,expected_calibration_error,0.02530364101529125
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,macro_f1,0.9084114802195871
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,maximum_calibration_error,0.2656581401824951
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,mean_confidence,0.9337036410152912
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,mean_inference_seconds_per_image,0.0006284013199998299
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,negative_log_likelihood,0.2700309356261144
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",raw_softmax,,,,sample_count,10000.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,hybrid,0.5,abstention_rate,0.0984
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,hybrid,0.5,acceptance_rate,0.9016
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,hybrid,0.5,number_abstained,984.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,hybrid,0.5,number_accepted,9016.0
